pu_no	p_name	p_no	pu_price	u_no	u_name	u_adress	pu_count	pu_totalprice
1	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
2	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
3	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
4	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
5	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
6	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
7	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
8	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
9	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
10	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
11	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
12	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
13	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
14	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
15	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
16	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
17	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
18	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
19	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
20	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
21	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
22	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
23	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
24	등심	1	5000	1	한정현	김포대로 2270번길 29	1	5000
