번호	진료과	의사이름	시간
1	내과	한성진	9:00
2	내과	한성진	9:30
3	내과	한성진	10:00
4	내과	한성진	10:30
5	내과	한성진	11:00
6	내과	한성진	11:30
7	내과	한성진	12:00
8	내과	한성진	12:30
9	내과	한성진	13:00
10	내과	한성진	13:30
11	내과	한성진	14:00
12	내과	한성진	14:30
13	내과	한성진	15:00
14	내과	한성진	15:30
15	내과	한성진	16:00
16	내과	한성진	16:30
17	내과	한성진	17:00
18	내과	이현수	9:00
19	내과	이현수	9:30
20	내과	이현수	10:00
21	내과	이현수	10:30
22	내과	이현수	11:00
23	내과	이현수	11:30
24	내과	이현수	12:00
25	내과	이현수	12:30
26	내과	이현수	13:00
27	내과	이현수	13:30
28	내과	이현수	14:00
29	내과	이현수	14:30
30	내과	이현수	15:00
31	내과	이현수	15:30
32	내과	이현수	16:00
33	내과	이현수	16:30
34	내과	이현수	17:00
35	정형외과	김준수	9:00
36	정형외과	김준수	9:30
37	정형외과	김준수	10:00
38	정형외과	김준수	10:30
39	정형외과	김준수	11:00
40	정형외과	김준수	11:30
41	정형외과	김준수	12:00
42	정형외과	김준수	12:30
43	정형외과	김준수	13:00
44	정형외과	김준수	13:30
45	정형외과	김준수	14:00
46	정형외과	김준수	14:30
47	정형외과	김준수	15:00
48	정형외과	김준수	15:30
49	정형외과	김준수	16:00
50	정형외과	김준수	16:30
51	정형외과	김준수	17:00
52	정형외과	전효빈	9:00
53	정형외과	전효빈	9:30
54	정형외과	전효빈	10:00
55	정형외과	전효빈	10:30
56	정형외과	전효빈	11:00
57	정형외과	전효빈	11:30
58	정형외과	전효빈	12:00
59	정형외과	전효빈	12:30
60	정형외과	전효빈	13:00
61	정형외과	전효빈	13:30
62	정형외과	전효빈	14:00
63	정형외과	전효빈	14:30
64	정형외과	전효빈	15:00
65	정형외과	전효빈	15:30
66	정형외과	전효빈	16:00
67	정형외과	전효빈	16:30
68	정형외과	전효빈	17:00
69	안과	송규진	9:00
70	안과	송규진	9:30
71	안과	송규진	10:00
72	안과	송규진	10:30
73	안과	송규진	11:00
74	안과	송규진	11:30
75	안과	송규진	12:00
76	안과	송규진	12:30
77	안과	송규진	13:00
78	안과	송규진	13:30
79	안과	송규진	14:00
80	안과	송규진	14:30
81	안과	송규진	15:00
82	안과	송규진	15:30
83	안과	송규진	16:00
84	안과	송규진	16:30
85	안과	송규진	17:00
86	안과	윤종환	9:00
87	안과	윤종환	9:30
88	안과	윤종환	10:00
89	안과	윤종환	10:30
90	안과	윤종환	11:00
91	안과	윤종환	11:30
92	안과	윤종환	12:00
93	안과	윤종환	12:30
94	안과	윤종환	13:00
95	안과	윤종환	13:30
96	안과	윤종환	14:00
97	안과	윤종환	14:30
98	안과	윤종환	15:00
99	안과	윤종환	15:30
100	안과	윤종환	16:00
101	안과	윤종환	16:30
102	안과	윤종환	17:00
103	치과	박준영	9:00
104	치과	박준영	9:30
105	치과	박준영	10:00
106	치과	박준영	10:30
107	치과	박준영	11:00
108	치과	박준영	11:30
109	치과	박준영	12:00
110	치과	박준영	12:30
111	치과	박준영	13:00
112	치과	박준영	13:30
113	치과	박준영	14:00
114	치과	박준영	14:30
115	치과	박준영	15:00
116	치과	박준영	15:30
117	치과	박준영	16:00
118	치과	박준영	16:30
119	치과	박준영	17:00
120	치과	방진우	9:00
121	치과	방진우	9:30
122	치과	방진우	10:00
123	치과	방진우	10:30
124	치과	방진우	11:00
125	치과	방진우	11:30
126	치과	방진우	12:00
127	치과	방진우	12:30
128	치과	방진우	13:00
129	치과	방진우	13:30
130	치과	방진우	14:00
131	치과	방진우	14:30
132	치과	방진우	15:00
133	치과	방진우	15:30
134	치과	방진우	16:00
135	치과	방진우	16:30
136	치과	방진우	17:00
