s_name	s_id	s_phone	s_job
유민우	user01	010-4567-5648	차장
김지훈	user02	010-2356-7896	부장
이지민	user03	010-5678-1535	팀장
홍수지	user04	010-4567-5231	사원
이동진	user05	010-7868-2356	사원
문지우	user06	010-4568-9358	부장
신하은	user07	010-6268-7835	차장
신동욱	user08	010-6513-4356	차장
김지민	user09	010-7632-6458	부장
박동욱	user10	010-4563-9523	사원
심민지	user11	010-6754-1859	팀장
김정윤	user12	010-4567-1563	차장
한지윤	user13	010-7831-4589	사원
김민재	user14	010-4587-1569	부장
이화주	user15	010-6579-3632	팀장
민경채	user16	010-7893-1567	부장
박민지	user17	010-7895-5456	차장
홍민진	user18	010-3689-7893	사원
이윤재	user19	010-6789-1987	팀장
홍지현	user20	010-7895-5248	부장
박재민	user21	010-4864-5455	차장
이주희	user22	010-4562-4895	사원
민은주	user23	010-7862-1256	팀장
민경현	user24	010-4862-0486	부장
이식민	user25	010-0189-5462	사원
송하림	user26	010-4562-2135	차장
문희경	user27	010-3547-6838	부장
김진우	user28	010-9735-0468	사장
신지욱	user29	010-7862-7896	회장
